ImageId,LabelId,PixelCount,Confidence,EncodedPixels
001bbdb5c4f43bd4dc2b3e3a08b7202a,33,300,1,0 100|0 100|0 100|
00457f3fa7e5ae64cdeeca1903b58640,33,300,1,0 100|0 100|0 100|
00474e4eeba7484a666283ee56fc29e9,33,300,1,0 100|0 100|0 100|
008010ef220d33763925e76f9690d1d2,33,300,1,0 100|0 100|0 100|
0092bd2ac3c2be679c27811ecb33990e,33,300,1,0 100|0 100|0 100|
00b0771c6db96968743e87650a6da31f,33,300,1,0 100|0 100|0 100|
00b6b5ff8cad4692b943ef774bc61470,33,300,1,0 100|0 100|0 100|
00bd49caf55181c9582d91044ad1e368,33,300,1,0 100|0 100|0 100|
00e6aa03116defedd6baa53ded34d3af,33,300,1,0 100|0 100|0 100|
00ecec0813d62e083ff7b429cf2ccee0,33,300,1,0 100|0 100|0 100|
010c65569a2b954e37374a90c4aaed1b,33,300,1,0 100|0 100|0 100|
0131820efdf8a4cf8882e379d8120c22,33,300,1,0 100|0 100|0 100|
0150f63fa294716d6139fd2ecad3bca9,33,300,1,0 100|0 100|0 100|
016f65fbfc66428d79264126ca417989,33,300,1,0 100|0 100|0 100|
018302a25eff344ccb121098bbf31dfa,33,300,1,0 100|0 100|0 100|
01c4bd786a5447d6b8824826447d4f55,33,300,1,0 100|0 100|0 100|
01e400e68c5bb81801fb5503d7fc8060,33,300,1,0 100|0 100|0 100|
01e5991133a4d16771ce1fe59b148d9f,33,300,1,0 100|0 100|0 100|
0255b03cde86e75877f3f746cf5f1f1b,33,300,1,0 100|0 100|0 100|
025b025bbe86107967f1262c003130cb,33,300,1,0 100|0 100|0 100|
02748598db34345aad9ddfc4f73e015a,33,300,1,0 100|0 100|0 100|
02854e367f12c82fa6cb33791f832f9b,33,300,1,0 100|0 100|0 100|
0287860e891011a5bb6e20e2d82ae2c4,33,300,1,0 100|0 100|0 100|
02a3aebbf5129fe496c3224bdadf3948,33,300,1,0 100|0 100|0 100|
02ac98675ae0b2811282af9375eafe0a,33,300,1,0 100|0 100|0 100|
02c362edbabf43480e514186819a0e25,33,300,1,0 100|0 100|0 100|
02e95d1b9cadb006de34e63ec2fc32ce,33,300,1,0 100|0 100|0 100|
02eb229324e50afde409d80d0fac3a80,33,300,1,0 100|0 100|0 100|
030f97f174a856b189aa09f53aed5180,33,300,1,0 100|0 100|0 100|
032f6808518481bb74ad562145b780e7,33,300,1,0 100|0 100|0 100|
033a4ea7b8117089624dd788f3d14393,33,30654,0.756272666716,6095776 1|6099111 74|6105864 117|6112615 142|6115998 144|6119381 146|6126147 150|6129530 152|6132913 153|6136296 155|6139679 157|6143062 159|6146445 161|6149828 163|6153211 165|6156593 167|6159976 169|6163359 170|6166742 172|6173508 175|6176891 176|6180274 178|6183657 179|6187040 181|6190423 182|6193806 184|6200573 186|6203956 187|6204153 1|6207339 189|6207535 14|6210723 189|6217489 217|6224256 221|6227639 222|6231022 224|6234406 224|6237789 226|6241172 227|6244556 228|6247939 229|6251322 229|6254705 230|6258089 230|6264855 231|6268239 231|6271622 230|6275005 229|6278389 226|6281772 225|6285155 223|6288538 222|6291922 219|6295305 221|6298688 223|6302072 223|6305455 225|6312222 228|6315605 229|6318988 231|6329138 235|6332522 235|6335905 237|6342672 239|6346055 240|6349438 242|6356205 243|6359588 244|6366355 245|6369739 246|6376507 246|6379890 247|6383274 247|6386658 247|6390042 247|6393425 248|6400193 248|6403577 248|6406960 249|6410344 249|6413728 249|6417112 249|6420495 250|6423879 250|6430647 250|6434030 251|6437414 251|6444182 251|6447565 252|6454333 252|6457717 252|6461100 253|6464484 253|6467868 253|6471252 253|6474636 253|6478020 253|6481404 253|6484788 253|6488171 254|6491555 254|6498323 254|6501707 254|6508475 254|6511859 254|6515243 254|6525395 254|6535546 255|6542314 255|6545698 255|6559234 255|6566002 255|6569386 255|6576154 255|6582922 255|6599843 254|6603227 254|6609995 254|6613379 254|6616763 254|6620147 254|6623531 253|6630299 250|6637067 237|6637308 6|6640451 237|6640695 1|6643835 236|6647219 235|6650603 235|6653988 233|6660757 232|6667526 230|6670910 230|6674295 229|6677679 112|6677862 46|6681247 45|6684447 40|6684631 44|6687832 39|6691216 39|6691399 44|6694600 38|6698168 43|6701552 43|6704752 38|6704937 41|6708137 37|6708322 40|6711521 37|6711707 39|6714905 37|6718289 36|6718476 37|6721673 36|6721861 35|6725057 36|6725246 34|6728442 35|6728631 32|6731826 35|6732016 30|6735210 35|6735402 27|6738594 34|6738788 25|6741979 33|6742174 22|6745363 33|6745559 16|6748747 33|6748945 8|6752134 29|6752331 1|6755520 25|6758907 21|
033a4ea7b8117089624dd788f3d14393,33,324,0.618320610687,5858959 20|5865727 21|5869111 21|5872495 22|5875879 28|5886031 25|5889416 24|5892800 23|5906336 23|5909720 22|5913104 22|5919872 22|5923256 22|5930032 13|5933419 9|5936807 6|5940195 1|
033a4ea7b8117089624dd788f3d14393,33,445,0.839622641509,5858979 22|5862363 23|5865748 22|5869132 23|5872517 23|5879290 18|5882673 19|5886056 20|5892823 21|5896207 21|5902975 22|5906359 22|5909742 23|5913126 23|5916510 23|5919894 23|5923278 23|5926661 24|5930045 24|5933428 25|5940217 1|
033a4ea7b8117089624dd788f3d14393,33,425,0.683279742765,5835324 6|5842075 26|5845458 28|5848841 29|5852224 31|5859001 23|5862386 23|5869155 23|5872540 22|5875924 23|5882692 23|5889460 23|5892844 23|5896228 23|5899613 22|5906381 22|5909765 22|5916533 22|5926685 1|5926695 6|5930080 4|
033a4ea7b8117089624dd788f3d14393,33,651,0.870320855615,5842125 19|5848891 23|5852274 24|5855658 25|5859041 27|5862424 29|5865807 30|5869190 31|5872573 33|5879340 34|5882723 35|5886107 35|5889491 36|5892875 36|5896258 37|5899642 37|5903026 37|5906410 37|5909794 37|5916563 9|5916590 9|5919947 9|5923331 8|5923363 1|5926716 7|5930100 6|
033a4ea7b8117089624dd788f3d14393,33,162,0.905027932961,5804982 13|5808365 14|5811747 16|5815130 17|5818514 17|5821898 17|5825282 17|5828666 17|5832050 17|5835434 17|
033a4ea7b8117089624dd788f3d14393,33,22899,0.769610808631,5865977 28|5869348 57|5872704 100|5876086 118|5879469 121|5882853 123|5886236 126|5889617 131|5892998 136|5896382 138|5899765 139|5903149 140|5906532 141|5909916 141|5916683 143|5920067 143|5923450 144|5926834 144|5933601 146|5936984 147|5940368 148|5943752 148|5947135 149|5950519 149|5953903 150|5957287 150|5960670 151|5964054 152|5967438 152|5970822 152|5974205 153|5980973 154|5984357 154|5987740 155|5991124 156|5994508 156|5997892 156|6001275 158|6008043 158|6011427 158|6014810 160|6021578 162|6024962 165|6028345 167|6031729 167|6035113 168|6038497 169|6041881 169|6045264 170|6048648 170|6052032 171|6055416 171|6062184 171|6065567 171|6068951 169|6072335 168|6075718 168|6079102 168|6089253 168|6092637 168|6102788 170|6106172 170|6109556 170|6116324 170|6123091 171|6133243 171|6140011 172|6143395 172|6150163 172|6153547 172|6160315 172|6163699 172|6173851 172|6177235 172|6180619 172|6184003 172|6187387 172|6190771 172|6194155 172|6200922 173|6204306 173|6207690 173|6211074 173|6214458 173|6217842 173|6221226 173|6227994 173|6231378 173|6234762 173|6238146 173|6241530 173|6244914 173|6248298 173|6258450 173|6265218 173|6268602 173|6271986 173|6275370 173|6282138 173|6288905 173|6292289 173|6295673 173|6302441 173|6305825 173|6309209 173|6312592 174|6322744 174|6332896 173|6336281 172|6343049 172|6346433 172|6349818 171|6353202 171|6356586 171|6359970 171|6363355 169|6366739 169|6373507 169|6376891 169|6380276 168|6383660 167|6387044 167|6390428 167|6393813 166|6397197 166|6403965 165|6407349 165|6410733 165|6414117 165|6417501 165|6420885 165|6431037 165|6434421 165|6437804 166|6441188 166|6451340 166|6454724 166|6461492 27|6464876 27|6465016 25|6468400 25|6471784 25|6475028 26|6475169 24|6478412 26|6481796 25|6481937 24|6485181 24|6485321 24|6488565 24|6488706 23|6491949 24|6492090 23|6495333 24|6495474 23|6498858 23|6502101 24|6502243 22|6505485 24|6512254 23|6512395 22|6515638 23|6515780 21|6519022 23|6522406 23|6522548 20|6525790 23|6525933 18|6529175 22|6529318 16|6532560 21|6532703 15|6535945 17|6536088 13|
033a4ea7b8117089624dd788f3d14393,33,295,0.684454756381,5818722 1|5822097 11|5825481 11|5828864 13|5832248 14|5835631 16|5839015 17|5845782 19|5849166 20|5852549 21|5859315 23|5869467 24|5872851 24|5876234 25|5886386 24|5889770 24|5893154 4|5893174 4|
